firstname,lastname,birthmonth,birthday,birthyear,course,phonenumber
name1,lastname1,November,26,98,BS Legal Management,+639183026210
name2,lastname2,May,26,01,BS Management,+639272126276
name3,lastname3,May,16,97,BS Comtech,+639182537017
name4,lastname4,December,9,97,BS IT Entrepreneurship,+639187144360
name5,lastname5,September,5,97,BS Comtech,+639274621674
name6,lastname6,March,2,99,BS Management,+639186295268
name7,lastname7,November,10,98,BS Legal Management,+639173697388
name8,lastname8,August,28,99,BS Management Engineering,+639172406000
name9,lastname9,July,10,97,BS Management Engineering,+639182265748
name10,lastname10,September,14,01,BS Comtech,+639183421717
name11,lastname11,December,8,98,BS Legal Management,+639277081308
name12,lastname12,May,4,97,BS Management Engineering,+639277475497
name13,lastname13,January,28,99,BS Comtech,+639179594490
name14,lastname14,January,11,99,BS Management,+639275434192
name15,lastname15,June,6,98,BS IT Entrepreneurship,+639172119497
name16,lastname16,April,20,99,BS Legal Management,+639181855162
name17,lastname17,January,3,97,BS IT Entrepreneurship,+639271468146
name18,lastname18,April,8,97,BS Management,+639275164280
name19,lastname19,December,28,97,BS IT Entrepreneurship,+639279586909
name20,lastname20,March,10,97,BS Management Engineering,+639175149105
name21,lastname21,July,13,99,BS Legal Management,+639279847499
name22,lastname22,September,15,99,BS IT Entrepreneurship,+639276993694
name23,lastname23,April,15,97,BS Management,+639173172478
name24,lastname24,October,1,97,BS Management Engineering,+639171593829
name25,lastname25,May,6,97,BS Management Engineering,+639188986972
name26,lastname26,December,5,99,BS Management Engineering,+639177964622
name27,lastname27,March,4,97,BS Comtech,+639271387580
name28,lastname28,November,10,00,BS Legal Management,+639171959244
name29,lastname29,October,10,99,BS Legal Management,+639176433996
name30,lastname30,May,28,99,BS Comtech,+639177583119
name31,lastname31,April,6,99,BS IT Entrepreneurship,+639186694265
name32,lastname32,July,16,99,BS Management,+639177508539
name33,lastname33,December,17,99,BS IT Entrepreneurship,+639272369504
name34,lastname34,October,4,99,BS Legal Management,+639174384447
name35,lastname35,July,14,01,BS IT Entrepreneurship,+639177736035
name36,lastname36,December,11,98,BS Management,+639184554185
name37,lastname37,February,2,00,BS Management,+639278899252
name38,lastname38,August,25,01,BS Legal Management,+639278748083
name39,lastname39,May,3,97,BS Management Engineering,+639278423053
name40,lastname40,February,27,98,BS Legal Management,+639279231234
name41,lastname41,November,16,99,BS Management,+639183814956
name42,lastname42,September,24,98,BS Legal Management,+639186029278
name43,lastname43,January,13,99,BS Management,+639185326748
name44,lastname44,February,25,98,BS IT Entrepreneurship,+639176541291
name45,lastname45,January,27,97,BS Management Engineering,+639182441683
name46,lastname46,December,24,98,BS Management Engineering,+639178181190
name47,lastname47,August,23,99,BS Management,+639174686425
name48,lastname48,April,13,99,BS IT Entrepreneurship,+639186351688
name49,lastname49,October,11,97,BS Legal Management,+639178211896
name50,lastname50,March,25,01,BS Legal Management,+639279249506
name51,lastname51,August,22,98,BS IT Entrepreneurship,+639188542626
name52,lastname52,March,21,99,BS Comtech,+639184389745
name53,lastname53,December,15,00,BS Management,+639178938235
name54,lastname54,July,10,98,BS Comtech,+639182165250
name55,lastname55,May,8,98,BS Management Engineering,+639172571057
name56,lastname56,September,9,98,BS Management Engineering,+639279495098
name57,lastname57,May,9,01,BS Comtech,+639277666306
name58,lastname58,April,6,97,BS Management Engineering,+639188518794
name59,lastname59,April,24,98,BS IT Entrepreneurship,+639179012860
name60,lastname60,August,26,99,BS IT Entrepreneurship,+639186815912
name61,lastname61,September,8,98,BS Comtech,+639183401320
name62,lastname62,December,7,00,BS IT Entrepreneurship,+639275511326
name63,lastname63,February,22,00,BS Management Engineering,+639189754142
name64,lastname64,November,13,97,BS IT Entrepreneurship,+639174661269
name65,lastname65,March,23,97,BS Management Engineering,+639276271302
name66,lastname66,September,24,97,BS Legal Management,+639175535101
name67,lastname67,December,9,97,BS Comtech,+639174425313
name68,lastname68,November,4,01,BS Management,+639277157133
name69,lastname69,November,19,98,BS Comtech,+639174484860
name70,lastname70,May,12,98,BS Legal Management,+639172551167
name71,lastname71,August,19,99,BS Comtech,+639184613486
name72,lastname72,December,1,99,BS Management,+639273477129
name73,lastname73,June,21,98,BS Management Engineering,+639184046593
name74,lastname74,October,25,97,BS Legal Management,+639277378051
name75,lastname75,September,17,98,BS IT Entrepreneurship,+639273487430
name76,lastname76,February,2,97,BS Comtech,+639271884940
name77,lastname77,May,19,00,BS Comtech,+639189613285
name78,lastname78,September,15,00,BS Management,+639185105817
name79,lastname79,December,23,00,BS Legal Management,+639276686229
name80,lastname80,August,10,99,BS Comtech,+639272299686
name81,lastname81,February,1,97,BS Comtech,+639188736019
name82,lastname82,November,22,97,BS Comtech,+639183767811
name83,lastname83,June,18,00,BS Management Engineering,+639271184679
name84,lastname84,February,28,99,BS IT Entrepreneurship,+639172362591
name85,lastname85,January,10,99,BS Legal Management,+639271281225
name86,lastname86,November,21,98,BS Management,+639185876655
name87,lastname87,August,15,98,BS IT Entrepreneurship,+639189458163
name88,lastname88,January,26,97,BS Management Engineering,+639179086005
name89,lastname89,March,26,98,BS IT Entrepreneurship,+639173679784
name90,lastname90,March,15,99,BS IT Entrepreneurship,+639185016913
name91,lastname91,August,16,97,BS IT Entrepreneurship,+639188231926
name92,lastname92,December,8,97,BS Management Engineering,+639174491492
name93,lastname93,June,14,98,BS IT Entrepreneurship,+639271961085
name94,lastname94,November,24,97,BS Legal Management,+639187681582
name95,lastname95,September,6,01,BS Comtech,+639271119326
name96,lastname96,March,16,99,BS Comtech,+639176991883
name97,lastname97,January,19,97,BS Management,+639181491873
name98,lastname98,January,10,98,BS IT Entrepreneurship,+639276151107
name99,lastname99,May,12,98,BS Comtech,+639274408773
name100,lastname100,May,10,99,BS Management,+639277872993
name101,lastname101,April,2,97,BS Comtech,+639279523919
name102,lastname102,August,14,01,BS Legal Management,+639184547163
name103,lastname103,December,16,00,BS Management Engineering,+639271488884
name104,lastname104,July,16,01,BS Comtech,+639188523413
name105,lastname105,March,5,99,BS IT Entrepreneurship,+639175027912
name106,lastname106,August,25,97,BS Comtech,+639275101038
name107,lastname107,April,21,01,BS Management,+639279581514
name108,lastname108,May,14,99,BS Management,+639187974867
name109,lastname109,August,15,98,BS Management Engineering,+639176153478
name110,lastname110,January,8,99,BS Management Engineering,+639186615521
name111,lastname111,December,22,01,BS Management Engineering,+639184011101
name112,lastname112,May,19,97,BS Management,+639184699048
name113,lastname113,May,27,97,BS IT Entrepreneurship,+639173895698
name114,lastname114,August,22,99,BS Comtech,+639179466274
name115,lastname115,March,26,98,BS IT Entrepreneurship,+639172368755
name116,lastname116,July,19,97,BS IT Entrepreneurship,+639182691384
name117,lastname117,January,11,97,BS Legal Management,+639189532016
name118,lastname118,February,4,99,BS Management Engineering,+639187521689
name119,lastname119,December,27,97,BS Legal Management,+639272593515
name120,lastname120,February,3,97,BS Legal Management,+639187322042
name121,lastname121,March,5,00,BS Legal Management,+639181371929
name122,lastname122,March,1,01,BS Legal Management,+639178985495
name123,lastname123,April,23,99,BS Legal Management,+639184792283
name124,lastname124,February,2,99,BS Management,+639174288800
name125,lastname125,November,24,98,BS Legal Management,+639176418280
name126,lastname126,June,4,00,BS Legal Management,+639272729008
name127,lastname127,March,3,00,BS Legal Management,+639172183720
name128,lastname128,June,20,98,BS Legal Management,+639188723714
name129,lastname129,October,25,98,BS Management Engineering,+639273995328
name130,lastname130,July,18,00,BS Management,+639273848421
name131,lastname131,February,23,99,BS Comtech,+639272789317
name132,lastname132,September,10,99,BS Legal Management,+639274503540
name133,lastname133,April,18,99,BS Comtech,+639271507228
name134,lastname134,May,7,00,BS Management,+639189955243
name135,lastname135,October,3,99,BS Comtech,+639279499628
name136,lastname136,October,5,00,BS Management,+639275581218
name137,lastname137,June,5,98,BS Management Engineering,+639181917948
name138,lastname138,February,5,97,BS IT Entrepreneurship,+639186366121
name139,lastname139,April,8,99,BS IT Entrepreneurship,+639185323276
name140,lastname140,September,2,99,BS Management Engineering,+639277951469
name141,lastname141,June,8,98,BS Legal Management,+639274308948
name142,lastname142,December,3,99,BS Legal Management,+639186594663
name143,lastname143,November,15,99,BS Management Engineering,+639277168308
name144,lastname144,October,14,98,BS Management Engineering,+639178554111
name145,lastname145,February,9,01,BS Management,+639182562335
name146,lastname146,September,11,98,BS Management,+639272488520
name147,lastname147,December,6,99,BS Legal Management,+639178569506
name148,lastname148,November,13,00,BS Legal Management,+639279892750
name149,lastname149,September,18,97,BS Management,+639271244294
name150,lastname150,August,5,97,BS Management Engineering,+639181625544
name151,lastname151,May,17,98,BS Legal Management,+639184692092
name152,lastname152,March,15,99,BS Legal Management,+639271451261
name153,lastname153,November,2,99,BS Management Engineering,+639274152246
name154,lastname154,August,2,99,BS Management,+639183319863
name155,lastname155,December,14,99,BS Legal Management,+639186492584
name156,lastname156,April,3,98,BS Management,+639181467027
name157,lastname157,August,13,97,BS Management Engineering,+639274759634
name158,lastname158,January,28,99,BS Legal Management,+639275946138
name159,lastname159,October,12,98,BS Management,+639276535975
name160,lastname160,December,25,00,BS Comtech,+639171376557
name161,lastname161,January,1,00,BS Comtech,+639172893619
name162,lastname162,January,26,00,BS Comtech,+639173886944
name163,lastname163,April,17,99,BS IT Entrepreneurship,+639173073272
name164,lastname164,May,25,97,BS IT Entrepreneurship,+639179259571
name165,lastname165,August,12,98,BS Management,+639182812519
name166,lastname166,February,16,99,BS Management Engineering,+639185369523
name167,lastname167,April,4,00,BS Management,+639187053266
name168,lastname168,July,5,97,BS Management Engineering,+639275111039
name169,lastname169,April,13,98,BS Management Engineering,+639182843059
name170,lastname170,June,9,00,BS IT Entrepreneurship,+639277977430
name171,lastname171,August,17,97,BS Legal Management,+639182274954
name172,lastname172,September,24,00,BS Comtech,+639173081448
name173,lastname173,August,13,98,BS Management Engineering,+639171806600
name174,lastname174,October,19,98,BS Management Engineering,+639271855392
name175,lastname175,June,1,99,BS Management Engineering,+639174921000
name176,lastname176,June,9,99,BS IT Entrepreneurship,+639277872528
name177,lastname177,July,1,01,BS Management Engineering,+639276147614
name178,lastname178,June,12,01,BS IT Entrepreneurship,+639177359355
name179,lastname179,May,4,98,BS Legal Management,+639277287081
name180,lastname180,March,22,99,BS IT Entrepreneurship,+639172574982
name181,lastname181,March,27,99,BS Management Engineering,+639177446240
name182,lastname182,June,2,98,BS Comtech,+639175027471
name183,lastname183,June,17,97,BS Management,+639185822278
name184,lastname184,December,23,98,BS IT Entrepreneurship,+639278914782
name185,lastname185,April,18,97,BS Management Engineering,+639172485615
name186,lastname186,November,19,97,BS Management Engineering,+639188593958
name187,lastname187,April,18,01,BS Legal Management,+639175755267
name188,lastname188,September,2,97,BS Management Engineering,+639186214437
name189,lastname189,December,7,00,BS Management,+639184478973
name190,lastname190,July,6,97,BS Management,+639184092087
name191,lastname191,May,7,99,BS Legal Management,+639187421522
name192,lastname192,July,9,99,BS IT Entrepreneurship,+639172225936
name193,lastname193,May,25,97,BS Management Engineering,+639187306896
name194,lastname194,September,2,98,BS Legal Management,+639173998033
name195,lastname195,July,15,01,BS Management Engineering,+639178189641
name196,lastname196,May,6,01,BS Management Engineering,+639274868768
name197,lastname197,October,24,01,BS Management Engineering,+639187088549
name198,lastname198,June,15,97,BS Legal Management,+639276426498
name199,lastname199,January,4,99,BS Comtech,+639275363811
name200,lastname200,November,13,98,BS Management,+639186217426
name201,lastname201,October,27,97,BS Management,+639176819326
name202,lastname202,April,15,00,BS Management,+639183415085
name203,lastname203,March,25,98,BS Management Engineering,+639184195644
name204,lastname204,November,4,97,BS IT Entrepreneurship,+639273835918
name205,lastname205,March,12,00,BS Management,+639171734981
name206,lastname206,December,19,97,BS Management Engineering,+639173094697
name207,lastname207,November,27,00,BS IT Entrepreneurship,+639187445680
name208,lastname208,October,20,99,BS Comtech,+639183143702
name209,lastname209,March,16,99,BS Comtech,+639177648372
name210,lastname210,April,2,98,BS IT Entrepreneurship,+639277507712
name211,lastname211,January,26,99,BS Management,+639277447095
name212,lastname212,November,2,99,BS Management,+639176005892
name213,lastname213,August,23,99,BS Management,+639184824436
name214,lastname214,June,8,99,BS Comtech,+639172291656
name215,lastname215,November,1,98,BS Comtech,+639171297511
name216,lastname216,October,23,99,BS Legal Management,+639279316222
name217,lastname217,May,2,98,BS Management Engineering,+639175108517
name218,lastname218,April,19,01,BS Comtech,+639278599615
name219,lastname219,May,28,97,BS IT Entrepreneurship,+639188833812
name220,lastname220,March,25,01,BS Management,+639278553696
name221,lastname221,July,12,01,BS Management Engineering,+639178691592
name222,lastname222,September,5,99,BS Legal Management,+639273902398
name223,lastname223,February,9,97,BS Management,+639182503159
name224,lastname224,December,18,01,BS Management,+639179141992
name225,lastname225,February,27,98,BS Management Engineering,+639171681549
name226,lastname226,March,12,97,BS Legal Management,+639188129824
name227,lastname227,October,8,97,BS Management,+639186763675
name228,lastname228,November,16,99,BS Management,+639276169286
name229,lastname229,June,11,99,BS Legal Management,+639279758823
name230,lastname230,December,4,97,BS Comtech,+639175592469
name231,lastname231,May,22,98,BS IT Entrepreneurship,+639275972823
name232,lastname232,April,17,00,BS Management,+639174189979
name233,lastname233,June,13,01,BS Management Engineering,+639275234422
name234,lastname234,February,6,97,BS Comtech,+639179116706
name235,lastname235,July,7,99,BS Management,+639186569527
name236,lastname236,October,23,98,BS Management,+639172513024
name237,lastname237,December,14,98,BS Legal Management,+639279408616
name238,lastname238,March,4,00,BS Comtech,+639172613868
name239,lastname239,February,5,97,BS Legal Management,+639279762990
name240,lastname240,April,21,01,BS Legal Management,+639179622388
name241,lastname241,September,7,00,BS Comtech,+639175603594
name242,lastname242,June,1,98,BS IT Entrepreneurship,+639172676749
name243,lastname243,November,19,98,BS Comtech,+639183889243
name244,lastname244,January,1,00,BS Comtech,+639184188388
name245,lastname245,March,5,99,BS Management Engineering,+639183874071
name246,lastname246,January,26,98,BS Comtech,+639188712841
name247,lastname247,August,3,98,BS Management,+639172423611
name248,lastname248,March,22,98,BS Legal Management,+639172132389
name249,lastname249,December,9,00,BS Management Engineering,+639175483044
name250,lastname250,May,24,01,BS Management Engineering,+639272646574
name251,lastname251,January,9,00,BS Comtech,+639175828763
name252,lastname252,December,6,01,BS Management,+639278006849
name253,lastname253,April,18,97,BS Management Engineering,+639184142565
name254,lastname254,August,3,97,BS Comtech,+639179846143
name255,lastname255,January,6,01,BS Management Engineering,+639272348693
name256,lastname256,December,7,97,BS Management,+639189449432
name257,lastname257,April,19,97,BS IT Entrepreneurship,+639179968937
name258,lastname258,June,7,01,BS IT Entrepreneurship,+639171697326
name259,lastname259,March,20,99,BS IT Entrepreneurship,+639279161852
name260,lastname260,November,15,00,BS Comtech,+639178435692
name261,lastname261,June,4,97,BS Legal Management,+639184567658
name262,lastname262,July,26,98,BS Comtech,+639177714152
name263,lastname263,January,1,00,BS Management,+639177734858
name264,lastname264,November,1,01,BS IT Entrepreneurship,+639181086505
name265,lastname265,November,26,01,BS Management,+639183329306
name266,lastname266,December,5,97,BS Management,+639175518922
name267,lastname267,July,5,99,BS Legal Management,+639175379153
name268,lastname268,October,21,99,BS Management Engineering,+639273739092
name269,lastname269,October,18,01,BS Legal Management,+639184417553
name270,lastname270,April,24,98,BS IT Entrepreneurship,+639273958754
name271,lastname271,March,25,97,BS Management Engineering,+639183513825
name272,lastname272,July,27,97,BS IT Entrepreneurship,+639172751598
name273,lastname273,August,7,99,BS Comtech,+639275116858
name274,lastname274,January,5,97,BS Management,+639175805437
name275,lastname275,April,20,98,BS Comtech,+639174189759
name276,lastname276,January,12,01,BS IT Entrepreneurship,+639175593566
name277,lastname277,December,24,99,BS Legal Management,+639274163898
name278,lastname278,February,8,97,BS Management,+639177356446
name279,lastname279,October,12,98,BS Legal Management,+639273594345
name280,lastname280,November,15,00,BS Management,+639181839884
name281,lastname281,February,12,97,BS Management,+639185412404
name282,lastname282,March,23,98,BS Management,+639183931948
name283,lastname283,November,3,97,BS IT Entrepreneurship,+639189273119
name284,lastname284,August,13,99,BS Comtech,+639278684707
name285,lastname285,September,17,98,BS Comtech,+639274198095
name286,lastname286,December,28,99,BS IT Entrepreneurship,+639279078179
name287,lastname287,February,18,98,BS Comtech,+639179925274
name288,lastname288,April,4,01,BS IT Entrepreneurship,+639175276893
name289,lastname289,October,15,97,BS Management Engineering,+639177569357
name290,lastname290,July,8,97,BS Management Engineering,+639189274291
name291,lastname291,December,27,00,BS Management,+639189741369
name292,lastname292,January,25,99,BS Comtech,+639178788313
name293,lastname293,March,1,99,BS Management Engineering,+639276084808
name294,lastname294,January,14,98,BS Legal Management,+639189838521
name295,lastname295,November,19,99,BS IT Entrepreneurship,+639183455057
name296,lastname296,April,26,99,BS Management,+639274162499
name297,lastname297,November,10,00,BS Legal Management,+639176201837
name298,lastname298,January,8,99,BS Management,+639272913676
name299,lastname299,February,18,98,BS Management,+639273486668
name300,lastname300,May,22,97,BS Comtech,+639188155153
name301,lastname301,April,27,99,BS Legal Management,+639272855378
name302,lastname302,May,1,01,BS Legal Management,+639185113241
name303,lastname303,December,18,97,BS Legal Management,+639177391115
name304,lastname304,September,18,00,BS Comtech,+639185337507
name305,lastname305,January,15,97,BS Management,+639176418911
