,firstname,lastname,gender,birthmonth,birthday,birthyear,course,phonenumber
0,name1,lastname1,Female,November,26,1998,BS Legal Management,0918 302 6210
1,name2,lastname2,Female,May,26,2001,BS Management,0927 212 6276
2,name3,lastname3,Female,May,16,1997,BS Communications Technology,0918 253 7017
3,name4,lastname4,Male,December,9,1997,BS IT Entrepreneurship,0918 714 4360
4,name5,lastname5,Female,September,5,1997,BS Communications Technology,0927 462 1674
5,name6,lastname6,Female,March,2,1999,BS Management,0918 629 5268
6,name7,lastname7,Female,November,10,1998,BS Legal Management,0917 369 7388
7,name8,lastname8,Male,August,28,1999,BS Management Engineering,0917 240 6000
8,name9,lastname9,Male,July,10,1997,BS Management Engineering,0918 226 5748
9,name10,lastname10,Female,September,14,2001,BS Communications Technology,0918 342 1717
10,name11,lastname11,Male,December,8,1998,BS Legal Management,0927 708 1308
11,name12,lastname12,Male,May,4,1997,BS Management Engineering,0927 747 5497
12,name13,lastname13,Female,January,28,1999,BS Communications Technology,0917 959 4490
13,name14,lastname14,Female,January,11,1999,BS Management,0927 543 4192
14,name15,lastname15,Male,June,6,1998,BS IT Entrepreneurship,0917 211 9497
15,name16,lastname16,Male,April,20,1999,BS Legal Management,0918 185 5162
16,name17,lastname17,Female,January,3,1997,BS IT Entrepreneurship,0927 146 8146
17,name18,lastname18,Female,April,8,1997,BS Management,0927 516 4280
18,name19,lastname19,Male,December,28,1997,BS IT Entrepreneurship,0927 958 6909
19,name20,lastname20,Male,March,10,1997,BS Management Engineering,0917 514 9105
20,name21,lastname21,Female,July,13,1999,BS Legal Management,0927 984 7499
21,name22,lastname22,Male,September,15,1999,BS IT Entrepreneurship,0927 699 3694
22,name23,lastname23,Male,April,15,1997,BS Management,0917 317 2478
23,name24,lastname24,Male,October,1,1997,BS Management Engineering,0917 159 3829
24,name25,lastname25,Male,May,6,1997,BS Management Engineering,0918 898 6972
25,name26,lastname26,Male,December,5,1999,BS Management Engineering,0917 796 4622
26,name27,lastname27,Female,March,4,1997,BS Communications Technology,0927 138 7580
27,name28,lastname28,Male,November,10,2000,BS Legal Management,0917 195 9244
28,name29,lastname29,Female,October,10,1999,BS Legal Management,0917 643 3996
29,name30,lastname30,Male,May,28,1999,BS Communications Technology,0917 758 3119
30,name31,lastname31,Male,April,6,1999,BS IT Entrepreneurship,0918 669 4265
31,name32,lastname32,Female,July,16,1999,BS Management,0917 750 8539
32,name33,lastname33,Male,December,17,1999,BS IT Entrepreneurship,0927 236 9504
33,name34,lastname34,Female,October,4,1999,BS Legal Management,0917 438 4447
34,name35,lastname35,Male,July,14,2001,BS IT Entrepreneurship,0917 773 6035
35,name36,lastname36,Male,December,11,1998,BS Management,0918 455 4185
36,name37,lastname37,Female,February,2,2000,BS Management,0927 889 9252
37,name38,lastname38,Female,August,25,2001,BS Legal Management,0927 874 8083
38,name39,lastname39,Male,May,3,1997,BS Management Engineering,0927 842 3053
39,name40,lastname40,Male,February,27,1998,BS Legal Management,0927 923 1234
40,name41,lastname41,Male,November,16,1999,BS Management,0918 381 4956
41,name42,lastname42,Female,September,24,1998,BS Legal Management,0918 602 9278
42,name43,lastname43,Female,January,13,1999,BS Management,0918 532 6748
43,name44,lastname44,Male,February,25,1998,BS IT Entrepreneurship,0917 654 1291
44,name45,lastname45,Female,January,27,1997,BS Management Engineering,0918 244 1683
45,name46,lastname46,Female,December,24,1998,BS Management Engineering,0917 818 1190
46,name47,lastname47,Male,August,23,1999,BS Management,0917 468 6425
47,name48,lastname48,Female,April,13,1999,BS IT Entrepreneurship,0918 635 1688
48,name49,lastname49,Male,October,11,1997,BS Legal Management,0917 821 1896
49,name50,lastname50,Male,March,25,2001,BS Legal Management,0927 924 9506
50,name51,lastname51,Female,August,22,1998,BS IT Entrepreneurship,0918 854 2626
51,name52,lastname52,Female,March,21,1999,BS Communications Technology,0918 438 9745
52,name53,lastname53,Male,December,15,2000,BS Management,0917 893 8235
53,name54,lastname54,Female,July,10,1998,BS Communications Technology,0918 216 5250
54,name55,lastname55,Female,May,8,1998,BS Management Engineering,0917 257 1057
55,name56,lastname56,Male,September,9,1998,BS Management Engineering,0927 949 5098
56,name57,lastname57,Female,May,9,2001,BS Communications Technology,0927 766 6306
